CardID,TerminalID,Amount,Balance,Remaining,Validity,Date
4,83,100,1000,900,1,204712
1,0,100,1000,900,1,204712
7,0,10000,5000,5000,0,204712
8,81,10000,1000,1000,0,204712
9,81,100,1000,900,1,204712
4,82,100,900,800,1,204712
7,81,10000,5000,5000,0,204712
5,81,10000,20000,10000,1,204712
1,0,1000,900,900,0,204712
8,81,10000,1000,1000,0,204712
5,0,100,10000,9900,1,204712
0,81,100,20000,19900,1,204712
0,0,100,19900,19800,1,204712
5,81,1000,9900,8900,1,204712
0,0,1000,19800,18800,1,204712
0,81,10000,18800,8800,1,204712
9,82,1000,900,900,0,204712
0,81,100,8800,8700,1,204712
5,82,1000,8900,7900,1,204712
8,81,10000,1000,1000,0,204712
5,82,1000,7900,6900,1,204712
2,81,1000,5000,4000,1,204712
2,82,100,4000,3900,1,204712
3,81,100,1000,900,1,204712
6,0,10000,10000,0,1,204712
5,0,10000,6900,6900,0,204712
1,82,100,900,800,1,204712
2,0,1000,3900,2900,1,204712
6,0,100,0,0,0,204712
4,82,100,800,700,1,204712
0,83,100,8700,8600,1,204712
6,83,1000,0,0,0,204712
0,83,100,8600,8500,1,204712
0,83,100,8500,8400,1,204712
1,83,100,800,700,1,204712
9,83,100,900,800,1,204712
8,83,100,1000,900,1,204712
5,83,1000,6900,5900,1,204713
7,81,1000,5000,4000,1,204713
9,83,1000,800,800,0,204713
3,82,1000,900,900,0,204713
6,81,10000,0,0,0,204713
0,83,10000,8400,8400,0,204713
6,83,100,0,0,0,204713
2,0,100,2900,2800,1,204713
0,83,10000,8400,8400,0,204713
5,82,1000,5900,4900,1,204713
9,0,1000,800,800,0,204713
6,81,100,0,0,0,204713
0,0,100,8400,8300,1,204713
1,81,1000,700,700,0,204713
7,83,100,4000,3900,1,204713
1,81,100,700,600,1,204713
2,83,1000,2800,1800,1,204713
7,82,1000,3900,2900,1,204713
5,83,1000,4900,3900,1,204713
9,81,10000,800,800,0,204713
7,82,100,2900,2800,1,204713
0,83,1000,8300,7300,1,204713
0,83,1000,7300,6300,1,204713
6,0,1000,0,0,0,204713
9,83,10000,800,800,0,204713
1,0,1000,600,600,0,204713
6,0,100,0,0,0,204713
8,0,100,900,800,1,204713
7,0,1000,2800,1800,1,204713
9,0,100,800,700,1,204713
1,81,1000,600,600,0,204722
6,82,1000,0,0,0,204722
0,0,1000,6300,5300,1,204722
0,83,1000,5300,4300,1,204722
0,0,100,4300,4200,1,204722
5,83,1000,3900,2900,1,204722
4,0,100,700,600,1,204722
5,83,10000,2900,2900,0,204722
2,0,10000,1800,1800,0,204722
3,83,10000,900,900,0,204722
2,82,1000,1800,800,1,204722
3,83,10000,900,900,0,204722
7,82,1000,1800,800,1,204722
0,81,10000,4200,4200,0,204722
1,82,1000,600,600,0,204722
6,0,100,0,0,0,204722
2,83,1000,800,800,0,204722
7,82,1000,800,800,0,204722
7,83,100,800,700,1,204722
7,0,100,700,600,1,204722
0,83,100,4200,4100,1,204722
3,0,1000,900,900,0,204722
5,81,10000,2900,2900,0,204722
4,82,1000,600,600,0,204722
0,83,10000,4100,4100,0,204722
3,0,10000,900,900,0,204722
3,83,100,900,800,1,204722
6,0,1000,0,0,0,204722
5,0,10000,2900,2900,0,204722
8,83,1000,800,800,0,204722
5,0,1000,2900,1900,1,204722
5,83,100,1900,1800,1,204722
4,83,10000,600,600,0,204722
