CardID,TerminalID,Amount,Balance,Remaining,Validity,Date,CardType,CardLimit,CardLocation,TerminalType,TerminalLocation,MerchantName
1,2,5005,5000,5000,0,2018-06-15 16:19:05.385,Credit,5000,7,ATM,2,E
7,83,5005,5000,5000,0,2018-06-15 16:19:05.385,Credit,5000,46,POS,Internet,A
7,84,5005,5000,5000,0,2018-06-15 16:19:05.385,Credit,5000,46,POS,Internet,E
8,2,5006,1000,1000,0,2018-06-15 16:19:05.385,Debit,1000,49,ATM,2,E
7,83,5006,5000,5000,0,2018-06-15 16:20:45.385,Credit,5000,46,POS,Internet,A
3,83,5005,1000,1000,0,2018-06-15 16:20:45.385,Debit,1000,0,POS,Internet,A
1,3,5005,5000,5000,0,2018-06-15 16:19:05.385,Credit,5000,7,ATM,3,B
5,1,5005,10000,4995,1,2018-06-15 16:22:25.385,Credit,10000,30,ATM,1,C
9,3,5003,20000,14997,1,2018-06-15 16:22:25.385,Credit,20000,14,ATM,3,B
9,2,5005,14997,9992,1,2018-06-15 16:22:25.385,Credit,20000,14,ATM,2,E
1,3,5005,5000,5000,0,2018-06-15 16:22:25.385,Credit,5000,7,ATM,3,B
2,2,5004,5000,5000,0,2018-06-15 16:22:25.385,Credit,5000,39,ATM,2,E
4,3,5006,1000,1000,0,2018-06-15 16:22:25.385,Debit,1000,79,ATM,3,B
5,2,5004,4995,4995,0,2018-06-15 16:22:25.385,Credit,10000,30,ATM,2,E
7,3,5004,5000,5000,0,2018-06-15 16:22:25.385,Credit,5000,46,ATM,3,B
3,3,5004,1000,1000,0,2018-06-15 16:22:25.385,Debit,1000,0,ATM,3,B
9,3,5005,9992,4987,1,2018-06-15 16:27:25.385,Credit,20000,14,ATM,3,B
5,2,5004,4995,4995,0,2018-06-15 16:27:25.385,Credit,10000,30,ATM,2,E
3,3,5006,1000,1000,0,2018-06-15 16:27:25.385,Debit,1000,0,ATM,3,B
4,1,5003,1000,1000,0,2018-06-15 16:27:25.385,Debit,1000,79,ATM,1,C
3,2,5006,1000,1000,0,2018-06-15 16:27:25.385,Debit,1000,0,ATM,2,E
8,83,5003,1000,1000,0,2018-06-15 16:29:05.385,Debit,1000,49,POS,Internet,A
9,4,5003,4987,4987,0,2018-06-15 16:29:05.385,Credit,20000,14,ATM,4,D
9,3,5006,4987,4987,0,2018-06-15 16:29:05.385,Credit,20000,14,ATM,3,B
8,2,5005,1000,1000,0,2018-06-15 16:29:05.385,Debit,1000,49,ATM,2,E
6,3,5004,5000,5000,0,2018-06-15 16:29:05.385,Credit,5000,71,ATM,3,B
4,84,5004,1000,1000,0,2018-06-15 16:29:05.385,Debit,1000,79,POS,Internet,E
4,2,5006,1000,1000,0,2018-06-15 16:29:05.385,Debit,1000,79,ATM,2,E
6,3,5006,5000,5000,0,2018-06-15 16:29:05.385,Credit,5000,71,ATM,3,B
3,2,5005,1000,1000,0,2018-06-15 16:29:05.385,Debit,1000,0,ATM,2,E
6,1,5005,5000,5000,0,2018-06-15 16:29:05.385,Credit,5000,71,ATM,1,C
4,2,5005,1000,1000,0,2018-06-15 16:29:05.385,Debit,1000,79,ATM,2,E
5,83,5005,4995,4995,0,2018-06-15 16:29:05.385,Credit,10000,30,POS,Internet,A
1,2,5004,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,7,ATM,2,E
1,3,5004,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,7,ATM,3,B
8,2,5005,1000,1000,0,2018-06-15 16:30:45.385,Debit,1000,49,ATM,2,E
0,3,5007,1000,1000,0,2018-06-15 16:30:45.385,Debit,1000,57,ATM,3,B
2,84,5004,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,39,POS,Internet,E
1,2,5006,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,7,ATM,2,E
6,3,5006,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,71,ATM,3,B
0,2,5004,1000,1000,0,2018-06-15 16:30:45.385,Debit,1000,57,ATM,2,E
6,3,5005,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,71,ATM,3,B
8,83,5006,1000,1000,0,2018-06-15 16:30:45.385,Debit,1000,49,POS,Internet,A
6,2,5007,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,71,ATM,2,E
9,82,5006,4987,4987,0,2018-06-15 16:30:45.385,Credit,20000,14,POS,Internet,E
6,3,5004,5000,5000,0,2018-06-15 16:30:45.385,Credit,5000,71,ATM,3,B
3,83,5004,1000,1000,0,2018-06-15 16:32:25.385,Debit,1000,0,POS,Internet,A
2,83,5004,5000,5000,0,2018-06-15 16:32:25.385,Credit,5000,39,POS,Internet,A
8,83,5005,1000,1000,0,2018-06-15 16:32:25.385,Debit,1000,49,POS,Internet,A
8,3,5005,1000,1000,0,2018-06-15 16:32:25.385,Debit,1000,49,ATM,3,B
5,83,5005,4995,4995,0,2018-06-15 16:32:25.385,Credit,10000,30,POS,Internet,A
5,3,5005,4995,4995,0,2018-06-15 16:32:25.385,Credit,10000,30,ATM,3,B
0,83,5006,1000,1000,0,2018-06-15 16:32:25.385,Debit,1000,57,POS,Internet,A
3,83,5005,1000,1000,0,2018-06-15 16:32:25.385,Debit,1000,0,POS,Internet,A
4,83,5005,1000,1000,0,2018-06-15 16:34:05.385,Debit,1000,79,POS,Internet,A
4,83,5004,1000,1000,0,2018-06-15 16:34:05.385,Debit,1000,79,POS,Internet,A
4,83,5005,1000,1000,0,2018-06-15 16:34:05.385,Debit,1000,79,POS,Internet,A
3,1,5005,1000,1000,0,2018-06-15 16:34:05.385,Debit,1000,0,ATM,1,C
0,83,5004,1000,1000,0,2018-06-15 16:34:05.385,Debit,1000,57,POS,Internet,A
7,1,5005,5000,5000,0,2018-06-15 16:34:05.385,Credit,5000,46,ATM,1,C
3,83,5006,1000,1000,0,2018-06-15 16:34:05.385,Debit,1000,0,POS,Internet,A
9,1,5006,4987,4987,0,2018-06-15 16:34:05.385,Credit,20000,14,ATM,1,C
1,84,5004,5000,5000,0,2018-06-15 16:34:05.385,Credit,5000,7,POS,Internet,E
8,83,5006,1000,1000,0,2018-06-15 16:34:05.385,Debit,1000,49,POS,Internet,A
7,83,5005,5000,5000,0,2018-06-15 16:35:45.385,Credit,5000,46,POS,Internet,A
8,82,5005,1000,1000,0,2018-06-15 16:35:45.385,Debit,1000,49,POS,Internet,E
3,2,5005,1000,1000,0,2018-06-15 16:35:45.385,Debit,1000,0,ATM,2,E
6,83,5006,5000,5000,0,2018-06-15 16:35:45.385,Credit,5000,71,POS,Internet,A
4,2,5006,1000,1000,0,2018-06-15 16:35:45.385,Debit,1000,79,ATM,2,E
6,83,5006,5000,5000,0,2018-06-15 16:35:45.385,Credit,5000,71,POS,Internet,A
6,83,5006,5000,5000,0,2018-06-15 16:37:25.385,Credit,5000,71,POS,Internet,A
4,2,5004,1000,1000,0,2018-06-15 16:37:25.385,Debit,1000,79,ATM,2,E
9,83,5005,4987,4987,0,2018-06-15 16:37:25.385,Credit,20000,14,POS,Internet,A
9,2,5004,4987,4987,0,2018-06-15 16:37:25.385,Credit,20000,14,ATM,2,E
7,2,5005,5000,5000,0,2018-06-15 16:37:25.385,Credit,5000,46,ATM,2,E
3,83,5005,1000,1000,0,2018-06-15 16:37:25.385,Debit,1000,0,POS,Internet,A
1,84,5006,5000,5000,0,2018-06-15 16:35:45.385,Credit,5000,7,POS,Internet,E
7,2,5006,5000,5000,0,2018-06-15 16:37:25.385,Credit,5000,46,ATM,2,E
2,84,5005,5000,5000,0,2018-06-15 16:37:25.385,Credit,5000,39,POS,Internet,E
4,2,5003,1000,1000,0,2018-06-15 16:37:25.385,Debit,1000,79,ATM,2,E
7,84,5005,5000,5000,0,2018-06-15 16:37:25.385,Credit,5000,46,POS,Internet,E
3,2,5005,1000,1000,0,2018-06-15 16:37:25.385,Debit,1000,0,ATM,2,E
6,2,5005,5000,5000,0,2018-06-15 16:39:05.385,Credit,5000,71,ATM,2,E
6,2,5004,5000,5000,0,2018-06-15 16:39:05.385,Credit,5000,71,ATM,2,E
4,2,5004,1000,1000,0,2018-06-15 16:39:05.385,Debit,1000,79,ATM,2,E
0,2,5005,1000,1000,0,2018-06-15 16:39:05.385,Debit,1000,57,ATM,2,E
8,1,5005,1000,1000,0,2018-06-15 16:35:45.385,Debit,1000,49,ATM,1,C
0,2,5004,1000,1000,0,2018-06-15 16:39:05.385,Debit,1000,57,ATM,2,E
5,1,5004,4995,4995,0,2018-06-15 16:39:05.385,Credit,10000,30,ATM,1,C
9,2,5006,4987,4987,0,2018-06-15 16:40:45.385,Credit,20000,14,ATM,2,E
6,1,5007,5000,5000,0,2018-06-15 16:40:45.385,Credit,5000,71,ATM,1,C
4,2,5005,1000,1000,0,2018-06-15 16:40:45.385,Debit,1000,79,ATM,2,E
6,2,5005,5000,5000,0,2018-06-15 16:40:45.385,Credit,5000,71,ATM,2,E
2,2,5005,5000,5000,0,2018-06-15 16:40:45.385,Credit,5000,39,ATM,2,E
2,2,5008,5000,5000,0,2018-06-15 16:40:45.385,Credit,5000,39,ATM,2,E
9,3,5005,4987,4987,0,2018-06-15 16:32:25.385,Credit,20000,14,ATM,3,B
2,3,5006,5000,5000,0,2018-06-15 16:42:25.385,Credit,5000,39,ATM,3,B
3,3,5004,1000,1000,0,2018-06-15 16:42:25.385,Debit,1000,0,ATM,3,B
4,3,5005,1000,1000,0,2018-06-15 16:42:25.385,Debit,1000,79,ATM,3,B
9,3,5005,4987,4987,0,2018-06-15 16:42:25.385,Credit,20000,14,ATM,3,B
5,3,5004,4995,4995,0,2018-06-15 16:42:25.385,Credit,10000,30,ATM,3,B
5,3,5007,4995,4995,0,2018-06-15 16:44:05.385,Credit,10000,30,ATM,3,B
8,3,5005,1000,1000,0,2018-06-15 16:44:05.385,Debit,1000,49,ATM,3,B
2,3,5004,5000,5000,0,2018-06-15 16:44:05.385,Credit,5000,39,ATM,3,B
8,3,5006,1000,1000,0,2018-06-15 16:44:05.385,Debit,1000,49,ATM,3,B
6,3,5004,5000,5000,0,2018-06-15 16:44:05.385,Credit,5000,71,ATM,3,B
2,3,5006,5000,5000,0,2018-06-15 16:44:05.385,Credit,5000,39,ATM,3,B
6,3,5006,5000,5000,0,2018-06-15 16:45:45.385,Credit,5000,71,ATM,3,B
9,3,5004,4987,4987,0,2018-06-15 16:45:45.385,Credit,20000,14,ATM,3,B
8,3,5005,1000,1000,0,2018-06-15 16:45:45.385,Debit,1000,49,ATM,3,B
7,3,5007,5000,5000,0,2018-06-15 16:45:45.385,Credit,5000,46,ATM,3,B
0,3,5003,1000,1000,0,2018-06-15 16:45:45.385,Debit,1000,57,ATM,3,B
1,3,5005,5000,5000,0,2018-06-15 16:45:45.385,Credit,5000,7,ATM,3,B
7,3,5006,5000,5000,0,2018-06-15 16:47:25.385,Credit,5000,46,ATM,3,B
2,83,5006,5000,5000,0,2018-06-15 16:47:25.385,Credit,5000,39,POS,Internet,A
6,83,5007,5000,5000,0,2018-06-15 16:47:25.385,Credit,5000,71,POS,Internet,A
0,83,5006,1000,1000,0,2018-06-15 16:47:25.385,Debit,1000,57,POS,Internet,A
5,83,5004,4995,4995,0,2018-06-15 16:47:25.385,Credit,10000,30,POS,Internet,A
5,2,5004,4995,4995,0,2018-06-15 16:52:25.385,Credit,10000,30,ATM,2,E
5,2,5005,4995,4995,0,2018-06-15 16:54:05.385,Credit,10000,30,ATM,2,E
1,2,5005,5000,5000,0,2018-06-15 16:54:05.385,Credit,5000,7,ATM,2,E
1,2,5005,5000,5000,0,2018-06-15 16:54:05.385,Credit,5000,7,ATM,2,E
8,82,5007,1000,1000,0,2018-06-15 16:57:25.385,Debit,1000,49,POS,Internet,E
2,1,5006,5000,5000,0,2018-06-15 16:57:25.385,Credit,5000,39,ATM,1,C
2,3,5005,5000,5000,0,2018-06-15 16:57:25.385,Credit,5000,39,ATM,3,B
7,3,5004,5000,5000,0,2018-06-15 16:57:25.385,Credit,5000,46,ATM,3,B
7,3,5006,5000,5000,0,2018-06-15 16:59:05.385,Credit,5000,46,ATM,3,B
7,3,5004,5000,5000,0,2018-06-15 16:59:05.385,Credit,5000,46,ATM,3,B
