CardID,TerminalID,Amount,Balance,Remaining,Validity,Date,CardType,CardLimit,CardLocation,TerminalType,TerminalLocation,MerchantName,NoFraud
111463,90,100,5000,4900,1,2018-06-17 14:04:49.326,Credit,5000,54,POS,Internet,A,0
54218,82,3000,5000,2000,1,2018-06-17 15:24:49.326,Credit,5000,71,POS,Internet,A,1
32792,109,3000,1000,1000,0,2018-06-18 05:01:29.326,Debit,1000,65,POS,Internet,E,1
70215,34,4000,1000,1000,0,2018-06-18 06:59:49.326,Debit,1000,47,ATM,34,E,1
93326,113,7000,1000,1000,0,2018-06-18 08:41:29.326,Debit,1000,65,POS,Internet,A,0
19669,40,1000,1000,0,1,2018-06-18 15:26:29.326,Debit,1000,65,ATM,40,B,1
33555,103,7000,1000,1000,0,2018-06-18 16:58:09.326,Debit,1000,63,POS,Internet,C,0
59363,91,12000,30000,18000,1,2018-06-18 17:16:29.326,Credit,30000,29,POS,Internet,A,0
19336,6,3000,10000,7000,1,2018-06-18 17:48:09.326,Credit,10000,48,ATM,6,C,0
31707,100,7000,1000,1000,0,2018-06-18 18:21:29.326,Debit,1000,76,POS,Internet,B,0
18913,137,100,1000,900,1,2018-06-18 20:51:29.326,Debit,1000,65,POS,Internet,B,0
3732,122,1000,1000,0,1,2018-06-18 22:33:09.326,Debit,1000,56,POS,Internet,E,1
15578,42,100,1000,900,1,2018-06-18 22:49:49.326,Debit,1000,68,ATM,42,E,0
848,112,2000,1000,1000,0,2018-06-19 02:43:09.326,Debit,1000,5,POS,Internet,B,0
20663,96,4000,1000,1000,0,2018-06-19 07:14:49.326,Debit,1000,18,POS,Internet,D,0
14880,109,12000,30000,18000,1,2018-06-19 08:49:49.326,Credit,30000,4,POS,Internet,E,1
32105,56,500,1000,500,1,2018-06-19 10:28:09.326,Debit,1000,12,ATM,56,E,0
86005,23,100,1000,900,1,2018-06-19 11:03:09.326,Debit,1000,40,ATM,23,E,0
15284,107,100,20000,19900,1,2018-06-19 11:18:09.326,Credit,20000,20,POS,Internet,A,0
2410,5,3000,5000,2000,1,2018-06-19 13:16:29.326,Credit,5000,57,ATM,5,D,1
14245,141,4000,10000,6000,1,2018-06-19 14:58:09.326,Credit,10000,40,POS,Internet,E,0
83013,17,5000,30000,25000,1,2018-06-19 14:58:09.326,Credit,30000,67,ATM,17,E,1
30538,98,7000,10000,3000,1,2018-06-19 18:14:49.326,Credit,10000,3,POS,Internet,A,0
29554,58,500,5000,4500,1,2018-06-19 22:58:09.326,Credit,5000,29,ATM,58,B,0
2640,92,5000,5000,0,1,2018-06-19 23:48:09.326,Credit,5000,13,POS,Internet,D,0
63524,89,500,1000,500,1,2018-06-20 00:39:49.326,Debit,1000,17,POS,Internet,B,0
27046,51,7000,1000,1000,0,2018-06-20 02:56:29.326,Debit,1000,43,ATM,51,C,0
49888,4,100,5000,4900,1,2018-06-20 03:11:29.326,Credit,5000,0,ATM,4,E,0
19916,120,500,1000,500,1,2018-06-20 05:21:29.326,Debit,1000,19,POS,Internet,A,0
111590,54,100,1000,900,1,2018-06-20 07:03:09.326,Debit,1000,31,ATM,54,A,0
99408,28,4000,1000,1000,0,2018-06-20 07:34:49.326,Debit,1000,6,ATM,28,B,1
78537,20,10000,10000,0,1,2018-06-20 08:26:29.326,Credit,10000,22,ATM,20,C,1
114678,124,7000,5000,5000,0,2018-06-20 11:44:49.326,Credit,5000,64,POS,Internet,C,1
55275,48,7000,10000,3000,1,2018-06-20 12:21:29.326,Credit,10000,9,ATM,48,B,0
89055,141,500,30000,29500,1,2018-06-20 13:08:09.326,Credit,30000,68,POS,Internet,E,0
103153,2,7000,1000,1000,0,2018-06-20 13:43:09.326,Debit,1000,3,ATM,2,E,1
