CardID,TerminalID,Amount,Balance,Remaining,Validity,Date
0,0,100,1000,900,1,203201
5,1,10000,1000,1000,0,203210
2,2,100,1000,900,1,203210
0,81,1000,900,900,0,203210
8,81,10000,10000,0,1,203210
5,1,1000,1000,0,1,203210
6,1,1000,10000,9000,1,203210
5,0,10000,0,0,0,203210
5,0,10000,0,0,0,203210
4,0,1000,20000,19000,1,203210
2,81,1000,900,900,0,203210
5,2,1000,0,0,0,203210
1,81,10000,20000,10000,1,203210
5,2,100,0,0,0,203210
4,1,100,19000,18900,1,203210
8,1,1000,0,0,0,203210
2,1,100,900,800,1,203210
0,2,1000,900,900,0,203210
0,2,10000,900,900,0,203210
0,1,100,900,800,1,203210
8,81,10000,0,0,0,203210
2,81,100,800,700,1,203210
6,81,10000,9000,9000,0,203210
3,1,10000,1000,1000,0,203210
3,1,1000,1000,0,1,203210
3,81,100,0,0,0,203210
2,81,10000,700,700,0,203210
7,1,1000,1000,0,1,203210
4,1,10000,18900,8900,1,203210
9,1,100,1000,900,1,203210
1,1,10000,10000,0,1,203210
9,2,10000,900,900,0,203210
8,2,1000,0,0,0,203210
7,2,1000,0,0,0,203210
0,2,10000,800,800,0,203210
5,1,1000,0,0,0,203210
